Episode,Title,URL,Status,Date,Duration
1,Season 2 | Ep 01 | कैसे जान पाएगी Team CID Abhijeet की Personal Tragedy? | CID | Full Episode,https://www.youtube.com/watch?v=bglX_yQ2e1U,Found,08 May 2026,48:23
2,Abandoned Suitcase देखकर क्यों हुई Daya-Abhijeet की हालत खराब? | CID Season 2 | Full Episode | Ep 3,https://www.youtube.com/watch?v=qhq7l0_f2IU,Found,07 Feb 2026,48:34
3,Is CID Team Trapped? - Part 3 | C.I.D | सीआईडी | Real Heroes,https://www.youtube.com/watch?v=PuLQUte6pzo,Found,06 Sep 2021,54:04
4,Purvi को किस CID Officer ने किया Emergency Call? | CID Season 2 | Full Episode | Ep 4,https://www.youtube.com/watch?v=CyIlj_EYaYY,Found,07 Feb 2026,47:19
5,एक Secluded Island पर Criminals के चक्रव्यूह में फंसी Team CID | CID Season 2 | Full Episode | Ep 5,https://www.youtube.com/watch?v=Yf46ipLSJtA,Found,07 Feb 2026,46:34
6,Crime Scene पर किसने की Abhijeet से शादी की बात? | CID Season 2 | Full Episode | Ep 6,https://www.youtube.com/watch?v=sUQNWucuz9o,Found,07 Feb 2026,41:39
7,A.I. Chatbot Grehani ने किया Team CID को कैद | CID Season 2 | Full Episode | Ep 7,https://www.youtube.com/watch?v=ORHKpdeZ2f8,Found,07 Feb 2026,46:16
8,Season 2 | Ep 08 | Team CID के लिए Race Against Time - Inspector Purvi खतरे में? | CID |Full Episode,https://www.youtube.com/watch?v=p1wPeu_XsIU,Found,08 May 2026,48:08
9,Wall से मिले Skull की Mystery को कैसे हल करेगी CID? | CID | New Season | Latest Episode | 9 Mar 2026,https://www.youtube.com/watch?v=qGBTm1yt2eQ,Found,08 Apr 2026,48:46
10,Daya का भयानक रूप देखकर थर्रा गई Team CID  | CID Season 2 | Full Episode | Ep 10,https://www.youtube.com/watch?v=IWue5wY__-8,Found,07 Feb 2026,44:26
11,एक बच्चे को नहीं बचा पाने का Abhijeet को लगा सदमा | CID | सी.आई.डी. | 11 July 2025,https://www.youtube.com/watch?v=4iWGDT_-3Q4,Found,05 Sep 2025,48:42
12,एक कटी हुई Finger ने बढ़ाई CID की मुश्किलें | CID Season 2 | Full Episode | Ep 12,https://www.youtube.com/watch?v=nyV0AdeF1Ek,Found,07 Feb 2026,46:34
13,House Party के रहस्य से CID कैसे उठाएगी पर्दा? | CID | New Season | Ep 13 | Full Episode,https://www.youtube.com/watch?v=8EgK6dTC4yA,Found,31 Aug 2026,46:03
14,Team C.I.D. के साथ किसने खेला कठपुतली का खेल? | CID Season 2 | Full Episode | Ep 14,https://www.youtube.com/watch?v=oZ46RXIoZtc,Found,07 Feb 2026,42:56
15,ACP Pradyuman के Parcel से किस CID Officer ने की चोरी? | CID Season 2 | Full Episode | Ep 15,https://www.youtube.com/watch?v=OLqFdTQEfwo,Found,07 Feb 2026,48:01
16,किसने की CID को गुमराह करने की कोशिश? | CID | सी.आई.डी. | 16 Apr 2024,https://www.youtube.com/watch?v=hTPxKPII7o0,Found,05 Sep 2024,46:32
17,Purvi ने खोल दिया किस CID Officer का गहरा राज़? | CID Season 2 | Full Episode | Ep 17,https://www.youtube.com/watch?v=yYxyKZWzxGk,Found,07 Feb 2026,48:46
18,Daya ने क्यों छोड़ी CID? | CID Season 2 | Full Episode | Ep 18,https://www.youtube.com/watch?v=uQQ1S3OtiQs,Found,07 Feb 2026,49:06
19,पुरानी हवेली में किसके Photos देखकर Abhijeet को लगा झटका? | CID Season 2 | Full Episode | Ep 19,https://www.youtube.com/watch?v=ntga2Ho-PAE,Found,Official,45:40
20,Chandelier के गिरने से हुवी Lady की House Death | CID Season 2 | Full Episode | Ep 20,https://www.youtube.com/watch?v=zK8P-whhL5k,Found,07 Feb 2026,44:17
21,क्या Team CID बन जाएगी 'Gilehri Rakshas' का शिकार? | CID Season 2 | Full Episode | Ep 21,https://www.youtube.com/watch?v=SVgv1BS9QA4,Found,07 Feb 2026,44:02
22,Abhijeet की Therapist पर किसने किया जानलेवा हमला? | CID Season 2 | Full Episode | Ep 22,https://www.youtube.com/watch?v=YG3j55gSQHE,Found,07 Feb 2026,48:40
23,Dr. Salunkhe ने क्यों बोला ACP Pradyuman से झूठ? | CID Season 2 | Full Episode | Ep 23,https://www.youtube.com/watch?v=mgHfcBm0ojc,Found,07 Feb 2026,50:55
24,CID ने बनाया एक Dangerous Plan | CID | सीआईडी | Full Episode | Criminal Manhunt | 24 Dec 2023,https://www.youtube.com/watch?v=1fRdHLPtMdk,Found,05 Sep 2024,49:13
25,हवा में उड़े जहर का Evidence कहाँ से लाएगी Team CID? | CID Season 2 | Full Episode | Ep 25,https://www.youtube.com/watch?v=rrqyZtYJOg0,Found,07 Feb 2026,45:12
26,Dr. Salunkhe के कंधों पर आया 26 Skeletons के Survey का बड़ा Task | CID | सी.आई.डी | 12 Feb 2024,https://www.youtube.com/watch?v=f0P2BlwvCsc,Found,05 Sep 2024,50:55
27,Tech Trap का Game लेकिन CID का Smart Plan | CID Season 2 | Ep 27 | Best Crime Cases,https://www.youtube.com/watch?v=4489CbH8xw0,Found,07 Jun 2026,45:01
28,Abhijeet के पुराने दोस्त पर किसने किया जानलेवा Attack? | CID Season 2 | Full Episode | Ep 28,https://www.youtube.com/watch?v=k-knD-joMLg,Found,09 Mar 2026,44:54
29,Traffic Signal के बीचों बीच हुई क़त्ल से CID है हैरान | CID | सी.आई.डी | 29 Dec 2023,https://www.youtube.com/watch?v=5l_uc5HJ2Dw,Found,05 Sep 2024,58:35
30,क्या CID पर काले साए की भविष्यवाणी होगी सच? | CID Season 2 | Full Episode | Ep 30,https://www.youtube.com/watch?v=onC1chS2Hhw,Found,09 Mar 2026,45:51
31,एक लड़की ने CID को बुलाकर कबूला अपना जुर्म | CID | सी.आई.डी. | 31 Dec 2025,https://www.youtube.com/watch?v=260d4RQBQkE,Found,08 Jan 2026,44:21
32,क्या Team CID ने ACP को हमेशा के लिए खो दिया? | CID Season 2 | Full Episode | Ep 32,https://www.youtube.com/watch?v=UEEkKyvZwBI,Found,09 Mar 2026,45:14
33,क्या ACP के बिना Purvi कर पाएगी Challenge का सामना? | CID Season 2 | Full Episode | Ep 33,https://www.youtube.com/watch?v=UsMKu5Szhu4,Found,09 Mar 2026,44:25
34,Bureau में New ACP को देखकर हैरान हो गए Daya-Abhijeet | CID Season 2 | Full Episode | Ep 34,https://www.youtube.com/watch?v=edS316DzFQ4,Found,09 Mar 2026,44:33
35,किसके निशाने पर हैं CID Members? | CID Season 2 | Full Episode | Ep 35,https://www.youtube.com/watch?v=tO2AHvOC3nk,Found,09 Mar 2026,47:02
36,Daya को Crime का सच कैसे बताएगा Shocked Sachin? | CID Season 2 | Full Episode | Ep 36,https://www.youtube.com/watch?v=SYylA7p3Cjc,Found,09 Mar 2026,48:06
37,Car Launch में CID को मिली 20 साल पुरानी Frozen Body | CID Season 2 | Full Episode | Ep 37,https://www.youtube.com/watch?v=xtToD935yyw,Found,09 Mar 2026,45:56
38,Silent Den में मचे Crime के शोर को कैसे शांत करेगी CID? | CID Season 2 | Full Episode | Ep 38,https://www.youtube.com/watch?v=bF8fg_R9M_o,Found,09 Mar 2026,44:27
39,CID में घुसे गद्दार की कैसे होगी पहचान? | CID Season 2 | Full Episode | Ep 39,https://www.youtube.com/watch?v=_6pt3cLpxXM,Found,09 Mar 2026,49:48
40,क्या Celebrity का Case डाल देगा Daya-Abhijeet के बीच में दरार? | CID Season 2 | Full Episode | Ep 40,https://www.youtube.com/watch?v=gw5uyRUIzS4,Found,09 Mar 2026,46:10
41,किसने लगाया CID पर Blackmail का इल्ज़ाम? | CID Season 2 | Full Episode | Ep 41,https://www.youtube.com/watch?v=eywP-FQll8o,Found,09 Mar 2026,44:56
42,CID SEASON 2 EPISODE 42 | Full Episode | Original Episode,https://www.youtube.com/watch?v=VUSJFG4iUgU,Found,09 Mar 2026,45:21
43,CID SEASON 2 Episode 43 | Full Episode | Original Episode | Sheraya come back,https://www.youtube.com/watch?v=xWgEB47QnbI,Found,09 Mar 2026,45:57
44,Construction Site पर मिले कंकाल की Identity कैसे निकलेगी CID? | CID Season 2 | Full Episode | Ep 44,https://www.youtube.com/watch?v=Z8Veo6zwC-s,Found,09 Mar 2026,42:56
